DR_ID|DR_LoadTime|DR_Start|DR_End|DR_Current|CasNumber|IngredientName|MatchingStrategy|PercentofConfidence|DisclosureStatus|IsSand|SandMeshSize|SandQuality|IsResinCoated|IsArtificial
3974|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|68478955|"alkoxylated amines"|"NO CAS MATCH FOUND"||Disclosed|||||
3975|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|68527491|"reaction product of acetophenone, fonnaldehyde. thiourea and oleic acid in dimethyl formamide"|"NO CAS MATCH FOUND"||Disclosed|||||
3976|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|68527491|"reaction product of acetophenone,formaldyhyde, thiourea and oleic acid in dimethyl formamide"|"NO CAS MATCH FOUND"||Disclosed|||||
3977|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|68527491|"thiourea/formaldehyde copolymer"|"NO CAS MATCH FOUND"||Disclosed|||||
3978|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|68527491|"thioure-fromaldehyde cpolymer"|"NO CAS MATCH FOUND"||Disclosed|||||
3979|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|68551122|"a1ch015,c12- 16,eth0xy1ated"|"NO CAS MATCH FOUND"||Disclosed|||||
3980|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|68551122|"alcohols (c12-16) ethoxylated"|"NO CAS MATCH FOUND"||Disclosed|||||
3981|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|68551122|"alcohols , c12-16, ethoxylated"|"NO CAS MATCH FOUND"||Disclosed|||||
3982|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|142870|"sulfuric acid, monodecyl ester, sodium salt"|"NO CAS MATCH FOUND"||Disclosed|||||
3983|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|14308607|"crystalline silica, sio2"|"NO CAS MATCH FOUND"||Disclosed|Y||||
3984|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|14308607|"zrystalline silica quartz)"|"NO CAS MATCH FOUND"||Disclosed|Y||||
3985|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|1445553|"sodium bicarbonate"|"NO CAS MATCH FOUND"||Disclosed|||||
3986|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|14464461|"crystallin silica, cristobalite"|"NO CAS MATCH FOUND"||Disclosed|Y||||
3987|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|14464461|"crystalline silicon dioxide"|"NO CAS MATCH FOUND"||Disclosed|Y||||
