DR_ID|DR_LoadTime|DR_Start|DR_End|DR_Current|SupplierName|SupplierCategory
148|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"bnk petroleum"|
149|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"boaz energy"|
150|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"bobcat"|
151|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"bopco lp"|
152|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"boque"|
153|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"borate crosslinker"|
154|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"bosque chemical solutions"|
155|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"bosque disposal"|"NULL"
156|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"bosque services, llc"|
157|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"bosque systems"|"Chemical Company"
158|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"bp america"|"Oil Company"
159|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"brainard"|"NULL"
160|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"brammer engineering"|
161|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"breaker"|
162|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"breck operating"|
163|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"breitling operating corp."|
164|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"brenntag southwest"|"Chemical Company"
165|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"br-fr"|
166|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"brg lone star"|"NULL"
167|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"brg petroleum"|"Oil Company"
168|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"brigadier opearting"|"NULL"
169|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"broad oak"|
170|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"bta oil products"|"NULL"
171|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"btt"|
172|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"buckman"|"NULL"
173|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"buffco production,inc"|
174|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"bule ribbon"|
175|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"bush's"|
176|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"butch's"|
177|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"bwa"|
178|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"bwa water additives us llc"|
179|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"c  j"|
180|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"cabot oil & gas"|"Oil Company"
181|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"caf"|
182|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"cage"|
183|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"cal chlor"|
184|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"calfrac well services"|"Pressure Pumping"
185|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"callon"|"Oil Company"
186|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"cambrian"|
187|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"canadian natural resources"|"Oil Company"
188|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"canrig"|
189|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"cantera energy, llc"|
190|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"capstone"|"NULL"
191|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"carbo ceramics inc."|"Proppant"
192|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"cargill"|"Proppant"
193|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"carmeuse"|
194|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"carrera energy-midland"|
195|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"carrier fluid"|"NULL"
196|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"carrizo oil & gas"|"Oil Company"
197|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"cas"|
198|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"case"|
199|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"cased hole"|"NULL"
200|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"castleton commodities international"|
201|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"catalyst oilfield services"|"Chemical Company"
202|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"cbm"|
203|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"ceramifrac proppants, llc"|
